lat,lon,name
50.868582,4.714625,Terechtgesteld-vrij
50.868684,4.692341,Kunstgras tennisterrein universitair sportcentrum.
50.868774,4.684728,Graffiti voetgangers- en fietserstunnel Boudewijnlaan.
50.868939,4.691483,Tennis
50.868978,4.690567,"Trailmarker 74, Vlaanderen-, Heuvel- en Kunststedenroute."
50.869025,4.688749,Renners Sterven Niet
50.869049,4.705947,Birds mural
50.869072,4.714934,Kapel Eeuwig Durende Rustplaats
50.869093,4.715567,Verdriet
50.869108,4.702826,Boekenwisselbox
50.869201,4.716863,Kunstwerk genaamd: Volledig
50.869206,4.692203,Topsporthal Arenberg
50.869352,4.714035,Solidariteit
50.869385,4.692693,Beeld aan Gymnasium
50.869493,4.71358,Leuven Entrance Cemetary
50.869623,4.691512,Zwembad KULeuven
50.869624,4.69793,Must Send Out Signals
50.869649,4.717208,Jezus Op Het Kruis
50.869688,4.692302,Beeldje Duikster
50.869706,4.708921,Old Post Center
50.869754,4.716635,Vital De Coster Standbeeld
50.869834,4.694099,De Spuye
50.869853,4.693631,"Naar fietsknooppunt 74, Vlaanderen-, Heuvel- en Kunststedenroute Tervuursevest."
50.869887,4.696243,Statue 'Begging The Gods'
50.869978,4.690536,Geometrische Architectuur Jaren 70
50.86998,4.714029,Carriereman
50.869981,4.723055,Jungle Photography Wall Art
50.870024,4.710858,Leuven Basketball Field
50.870065,4.715843,Cholera Victim Memorial
50.870067,4.711716,Leuven Mikado Playground
50.870079,4.689539,Joanes Graph
50.870129,4.715212,Crying Maria
50.870251,4.694152,Streetart Humaneater
50.870327,4.690774,Beach & fitnesshal
50.870343,4.717455,Crypt Inside Cemetery
50.870462,4.699393,Exotic Runes
50.870492,4.713499,Mini Bibliotheek Met Muurschiildering
50.870502,4.71185,Voetbalveldje philipsplein
50.870514,4.693549,Mural Art
50.870765,4.70874,Haan In Gevel
50.870771,4.700801,De Triangel boekentil
50.87084,4.690051,Bakala Academy Athletic Performance Centre
50.87086,4.698379,Fazant in gevelornament
50.870886,4.707252,Wooden sculpture Kom op voor je wijk
50.870904,4.698028,Bar Del Sol
50.870931,4.70817,Remembrance stone Fire of Leuven
50.870974,4.720533,"Fietsen naar knoopunten 72 en 73, wandelen naar 4 en 69."
50.870975,4.719815,heuvelroute+vlaanderenroute+multifietsknooppunt
50.870999,4.696934,Groot Begijnhof UNESCO heritage Site
50.871094,4.69626,Faculty Club
50.87116,4.716597,Monument general criminal law
50.871221,4.711257,Prison
50.87124,4.703078,Appeltuin Mailbox
50.871414,4.697067,Begijnkerk
50.871452,4.712358,Leuven Schreursvest oorlogsmon
50.871479,4.723379,Boekentil
50.871513,4.695342,Under the Blue Sun
50.871583,4.702769,Basketbalveld Hoornplein
50.871589,4.701468,Smoke Signals
50.871613,4.715991,Speeltuin Hortense Damanhof
50.871691,4.693654,Fietsknooppunt 10 heuvelroute
50.871704,4.685142,Spooky
50.871711,4.694998,Resurex
50.871742,4.70316,Herdenkingsplaat verzetsstrijders WO II
50.871748,4.696488,Little Priest
50.871807,4.720263,Wheel
50.871821,4.695615,Blue Monk
50.871831,4.716339,"oh nee, wat met de bloemen?"
50.871986,4.684506,A Garden Sculpture
50.871986,4.713057,Tree Art
